scanner,control,status,actual_value,required_value,nist_control,soc2_control,iso_control,remediation
PasswordPolicy,MinimumPasswordLength,NON_COMPLIANT,10,14,IA-5(1)(a),CC6.6,A.9.4.3,Set minimum password length to at least 14 characters
PasswordPolicy,RequireSymbols,COMPLIANT,True,True,IA-5(1)(a),CC6.6,A.9.4.3,No action required
PasswordPolicy,RequireNumbers,COMPLIANT,True,True,IA-5(1)(a),CC6.6,A.9.4.3,No action required
PasswordPolicy,RequireUppercaseCharacters,COMPLIANT,True,True,IA-5(1)(a),CC6.6,A.9.4.3,No action required
PasswordPolicy,RequireLowercaseCharacters,COMPLIANT,True,True,IA-5(1)(a),CC6.6,A.9.4.3,No action required
PasswordPolicy,MaxPasswordAge,NON_COMPLIANT,Not set,90,IA-5(1)(d),CC6.6,A.9.4.3,Set password expiration to 90 days or fewer
PasswordPolicy,PasswordReusePrevention,NON_COMPLIANT,5,12,IA-5(1)(e),CC6.6,A.9.4.3,Prevent reuse of the last 12 passwords
PasswordPolicy,AllowUsersToChangePassword,COMPLIANT,True,True,IA-5,CC6.6,A.9.4.3,No action required
PasswordPolicy,HardExpiry,COMPLIANT,False,False,IA-5(1)(d),CC6.6,A.9.4.3,No action required
RootActivity,Root account activity check,ERROR,CloudTrail lookup failed: An error occurred (ThrottlingException) when calling the LookupEvents operation (reached max retries: 4): Rate exceeded,No root account activity in last 90 days,AC-2(5),CC6.2,A.9.2.3,Verify CloudTrail is enabled and the Lambda role has cloudtrail:LookupEvents permission
